,Statement Description
4147,Knowledge of organizational structure
4148, Understanding of information security roles and responsibilities
4149, Familiarity with security policy development and maintenance processes
4150,knowledge of network security
4151, understanding of TCP three way handshake process
4152, awareness of common security exploits
4153,Web security
4154, Cross site scripting (XSS)
4155,knowledge of software engineering concepts
4156, understanding of abstraction principles
4157,knowledge of cybersecurity
4158, understanding of data protection concepts
4159, familiarity with encryption processes
4160,wireless networking protocols
4161, DSDV protocol
4162, security in routing information exchange
4163, authentication mechanisms in networking
4164,history of space technology
4165, communications history
4166,firewall functions
4167, network security concepts
4168,knowledge of music industry practices
4169, understanding of digital rights management (DRM)
4170, familiarity with legal actions in intellectual property cases
4171, awareness of internet infrastructure and network operations
4172, knowledge of cybersecurity and distributed denial of service (DDoS) attacks
4173,Multicast addressing
4174, Network communication concepts
4175,Cryptography
4176, Data security
4177, Confidentiality
4178, Data integrity
4179, Transmission security
4180,Knowledge of ITM (Integrated Threat Management) solutions
4181, Understanding of cost implications in security systems
4182, Awareness of complexity and overhead in managing multiple security components
4183, Experience with security equipment maintenance
4184,Enterprise architecture
4185, Disaster recovery planning
4186, System reliability and availability
4187,Business Continuity Planning
4188, Disaster Recovery
4189, Risk Management
4190,Facility security
4191, Access control systems
4192,Computer forensics
4193, Data integrity
4194, Digital evidence handling
4195,Threat scenarios
4196, Experience evaluation
4197, Education level
4198, Potential loss assessment
4199, Severity rating
4200,Linux/UNIX administration
4201, File system management
4202, Group management commands
4203,Wireshark configuration
4204, Network Interface Card (NIC) settings
4205, Promiscuous mode operation
4206, Windows networking drivers
4207, Libpcap library
4208,Application security concepts
4209, Common security phases or components
4210,Knowledge of internet security protocols
4211,Probability theory
4212,knowledge of security concepts
4213, understanding of authentication processes
4214,antivirus technology
4215, virus detection methods
4216, heuristics in cybersecurity
4217,knowledge of email protocols
4218, understanding of network protocols
4219, familiarity with internet security protocols
4220, basic understanding of data encoding
4221,PCI DSS requirements
4222, change detection mechanisms
4223, file security practices
4224,Near Field Communication
4225, Wireless technology basics
4226, Mobile payment systems
4227,Asymmetric key algorithms
4228, RSA
4229, 3DES
4230, DES
4231, AES
4232,social engineering techniques
4233, cybersecurity principles
4234, information security practices
4235,knowledge of financial security technologies
4236, understanding of turnover and loss percentages
4237, history of security technology implementation in France
4238,Asymmetric cryptography
4239, Cryptography security principles
4240, Key exchange protocols
4241,Understanding of domain name systems
4242, Knowledge of internet security practices
4243, Awareness of online phishing techniques
4244,knowledge of organizational security practices
4245, understanding of incident response procedures
4246, awareness of training methodologies
4247, familiarity with system development lifecycle
4248,Change management processes
4249, Quality assurance practices
4250, Security best practices
4251, Production environment management
4252,Control Flow Integrity
4253, Computer security
4254, Software execution
4255, Attack vectors in software
4256,hash function properties
4257, cryptographic security concepts
4258,command injection attack
4259, web application security
4260, OS command execution
4261,Knowledge of identity management systems
4262, Understanding of Higgins project
4263, Interoperability concepts
4264, Security and privacy in identity management
4265, Decentralized systems
4266,biometric authentication
4267, access control types
4268, authentication factors
4269,Knowledge of intrusion prevention systems
4270, Understanding of physical security measures
4271, Familiarity with security terminology
4272,knowledge of authentication protocols
4273, understanding of Diffie Hellman key exchange
4274, concept of perfect forward secrecy
4275,Knowledge of RC4 algorithm
4276, Understanding of state vector initialization
4277,knowledge of security principles
4278, understanding of access control
4279, familiarity with manufacturing and storage area access requirements
4280,network switching fundamentals
4281, MAC address concepts
4282, switched network traffic isolation
4283, Ethernet frame structure
4284, network security techniques
4285,Bell LaPadula model
4286, computer security
4287, data security
4288, access control models
4289,Understanding of cloud computing concepts
4290, Knowledge of container technology
4291, Awareness of application isolation techniques
4292,OSI reference model
4293, Network Layer functions
4294,firewall policies
4295, network security
4296, public network risks
4297, encryption methods
4298,network security
4299, firewall functions
4300, application gateway features
4301,Wired Equivalent Privacy (WEP) encryption
4302, IEEE 802.11 networks
4303, Network security concepts
4304,password policy
4305, security best practices
4306,Understanding of security vulnerabilities
4307, Knowledge of risk management principles
4308, Familiarity with vulnerability assessment tools
